symbol,name,sector,industry,country,pe,pb,peg,profitMargin,roe,roa,debtToEquity,currentRatio,dividendYield,payoutRatio,revenueGrowth,earningsGrowth,marketCap,currentPrice,description
SAP.DE,SAP SE,Technology,Software,Germany,34.0,7.9,1.9,0.267,0.251,0.088,1.44,1.86,0.011,0.58,0.141,0.159,402459101882,58.67,"SAP SE is a leading company in the Software industry, operating primarily in the Technology sector."
SIE.DE,Siemens AG,Industrials,Industrial Equipment,Germany,16.9,2.0,1.4,0.124,0.161,0.057,1.16,2.15,0.0207,0.51,0.084,0.082,52716467067,159.66,"Siemens AG is a leading company in the Industrial Equipment industry, operating primarily in the Industrials sector."
ALV.DE,Allianz SE,Financial Services,Insurance,Germany,12.7,1.3,1.2,0.145,0.124,0.049,0.38,1.3,0.0289,0.63,0.075,0.095,19808637589,317.45,"Allianz SE is a leading company in the Insurance industry, operating primarily in the Financial Services sector."
DTE.DE,Deutsche Telekom AG,Communication Services,Telecom,Germany,25.0,4.7,2.4,0.196,0.192,0.081,0.83,1.6,0.0121,0.41,0.119,0.158,120353499911,443.24,"Deutsche Telekom AG is a leading company in the Telecom industry, operating primarily in the Communication Services sector."
VOW3.DE,Volkswagen AG,Consumer Cyclical,Auto Manufacturers,Germany,19.4,3.5,1.3,0.119,0.12,0.072,0.45,1.11,0.022,0.34,0.107,0.097,271495961455,414.72,"Volkswagen AG is a leading company in the Auto Manufacturers industry, operating primarily in the Consumer Cyclical sector."
MBG.DE,Mercedes-Benz Group AG,Consumer Cyclical,Auto Manufacturers,Germany,18.3,3.4,1.9,0.081,0.154,0.06,1.38,1.87,0.0194,0.31,0.102,0.114,468246559121,406.45,"Mercedes-Benz Group AG is a leading company in the Auto Manufacturers industry, operating primarily in the Consumer Cyclical sector."
ADS.DE,Adidas AG,Consumer Cyclical,Apparel Manufacturing,Germany,16.5,3.3,2.0,0.112,0.174,0.062,0.65,1.1,0.0189,0.51,0.102,0.099,364692760082,381.12,"Adidas AG is a leading company in the Apparel Manufacturing industry, operating primarily in the Consumer Cyclical sector."
BAS.DE,BASF SE,Basic Materials,Chemicals,Germany,14.2,2.1,2.4,0.083,0.102,0.047,0.74,1.6,0.0255,0.67,0.054,0.063,75048494001,53.4,"BASF SE is a leading company in the Chemicals industry, operating primarily in the Basic Materials sector."
BMW.DE,BMW AG,Consumer Cyclical,Auto Manufacturers,Germany,19.8,3.1,1.7,0.09,0.176,0.053,0.32,1.26,0.0235,0.57,0.106,0.092,19776592676,93.07,"BMW AG is a leading company in the Auto Manufacturers industry, operating primarily in the Consumer Cyclical sector."
DAI.DE,Daimler Truck Holding AG,Industrials,Trucks & Other Vehicles,Germany,15.3,2.0,1.7,0.114,0.147,0.048,0.81,2.07,0.028,0.43,0.077,0.071,295059429806,402.61,"Daimler Truck Holding AG is a leading company in the Trucks & Other Vehicles industry, operating primarily in the Industrials sector."
DB1.DE,Deutsche Boerse AG,Financial Services,Financial Data & Exchanges,Germany,11.2,1.4,1.4,0.139,0.107,0.049,0.38,1.77,0.0257,0.48,0.078,0.093,124987269851,62.52,"Deutsche Boerse AG is a leading company in the Financial Data & Exchanges industry, operating primarily in the Financial Services sector."
DBK.DE,Deutsche Bank AG,Financial Services,Banks,Germany,11.1,1.5,2.2,0.137,0.108,0.05,1.41,2.36,0.0348,0.41,0.077,0.08,272427658369,274.98,"Deutsche Bank AG is a leading company in the Banks industry, operating primarily in the Financial Services sector."
EOAN.DE,E.ON SE,Utilities,Utilities - Regulated Electric,Germany,16.8,1.3,1.5,0.085,0.101,0.038,0.39,1.86,0.0346,0.44,0.033,0.035,118580216078,305.07,"E.ON SE is a leading company in the Utilities - Regulated Electric industry, operating primarily in the Utilities sector."
FRE.DE,Fresenius SE & Co. KGaA,Healthcare,Medical Care Facilities,Germany,22.1,5.2,1.4,0.158,0.172,0.072,0.25,1.45,0.0212,0.69,0.088,0.116,389921957579,277.79,"Fresenius SE & Co. KGaA is a leading company in the Medical Care Facilities industry, operating primarily in the Healthcare sector."
HEI.DE,HeidelbergCement AG,Basic Materials,Building Materials,Germany,13.4,1.9,2.4,0.079,0.121,0.039,1.12,1.64,0.0334,0.36,0.046,0.055,285539947657,276.7,"HeidelbergCement AG is a leading company in the Building Materials industry, operating primarily in the Basic Materials sector."
AAPL,Apple Inc.,Technology,Consumer Electronics,USA,28.8,7.0,0.9,0.209,0.217,0.087,1.21,1.48,0.0085,0.25,0.174,0.163,210436954991,439.99,"Apple Inc. is a leading company in the Consumer Electronics industry, operating primarily in the Technology sector."
MSFT,Microsoft Corporation,Technology,Software,USA,29.2,6.5,2.4,0.293,0.239,0.111,0.93,2.13,0.0084,0.65,0.179,0.192,172484499279,338.99,"Microsoft Corporation is a leading company in the Software industry, operating primarily in the Technology sector."
GOOGL,Alphabet Inc.,Communication Services,Internet Content,USA,29.6,4.2,1.5,0.21,0.155,0.068,1.25,0.94,0.0174,0.62,0.104,0.132,17910037942,362.84,"Alphabet Inc. is a leading company in the Internet Content industry, operating primarily in the Communication Services sector."
AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail,USA,20.6,2.6,0.9,0.118,0.166,0.066,0.88,1.86,0.0235,0.52,0.091,0.113,68318251952,71.75,"Amazon.com Inc. is a leading company in the Internet Retail industry, operating primarily in the Consumer Cyclical sector."
NVDA,NVIDIA Corporation,Technology,Semiconductors,USA,34.6,6.4,2.3,0.213,0.222,0.085,0.54,2.41,0.0088,0.29,0.133,0.152,380547406641,67.58,"NVIDIA Corporation is a leading company in the Semiconductors industry, operating primarily in the Technology sector."
META,Meta Platforms Inc.,Communication Services,Internet Content,USA,26.3,5.6,1.5,0.163,0.204,0.086,0.48,1.71,0.0149,0.24,0.11,0.156,107450761076,136.04,"Meta Platforms Inc. is a leading company in the Internet Content industry, operating primarily in the Communication Services sector."
TSLA,Tesla Inc.,Consumer Cyclical,Auto Manufacturers,USA,18.8,3.6,1.6,0.106,0.148,0.07,0.54,1.94,0.0186,0.38,0.082,0.129,171663439505,489.74,"Tesla Inc. is a leading company in the Auto Manufacturers industry, operating primarily in the Consumer Cyclical sector."
BRK.B,Berkshire Hathaway Inc.,Financial Services,Insurance,USA,10.5,1.5,1.1,0.166,0.129,0.057,0.78,1.57,0.0263,0.62,0.073,0.098,46536129810,71.22,"Berkshire Hathaway Inc. is a leading company in the Insurance industry, operating primarily in the Financial Services sector."
